phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6162339,http://paypal-issues.cf/auth/eec53bdaa756bf196e547848a6e48d88ZjI1YmVkYWY4ZTcwYzk2MzNkMWRlYWMwMmViNjkyYTY=/resolution/websc_login/?country.x=US&amp;locale.x=en_US,http://www.phishtank.com/phish_detail.php?phish_id=6162339,2019-08-16T10:15:27+00:00,yes,2019-08-16T10:16:33+00:00,yes,Other
6162338,http://paypal-issues.cf/auth/1e6bebf6cb8d2a6d24da813cd7fc551fZTcyMTNkZWVjMjdkNWIyYzdiNDU3MDMzZTBiOWU5OGM=/resolution/websc_login/?country.x=US&amp;locale.x=en_US,http://www.phishtank.com/phish_detail.php?phish_id=6162338,2019-08-16T10:15:21+00:00,yes,2019-08-16T10:16:33+00:00,yes,Other
6162337,http://paypal-issues.cf/auth/eec53bdaa756bf196e547848a6e48d88ZjI1YmVkYWY4ZTcwYzk2MzNkMWRlYWMwMmViNjkyYTY=/resolution/websc_login/?country.x=US&locale.x=en_US,http://www.phishtank.com/phish_detail.php?phish_id=6162337,2019-08-16T09:45:23+00:00,yes,2019-08-16T09:46:46+00:00,yes,Other
6162336,http://paypal-issues.cf/auth/eec53bdaa756bf196e547848a6e48d88ZjI1YmVkYWY4ZTcwYzk2MzNkMWRlYWMwMmViNjkyYTY=/resolution,http://www.phishtank.com/phish_detail.php?phish_id=6162336,2019-08-16T09:45:20+00:00,yes,2019-08-16T09:46:46+00:00,yes,Other
6162335,http://paypal-issues.cf/auth/1e6bebf6cb8d2a6d24da813cd7fc551fZTcyMTNkZWVjMjdkNWIyYzdiNDU3MDMzZTBiOWU5OGM=/resolution/websc_login/?country.x=US&locale.x=en_US,http://www.phishtank.com/phish_detail.php?phish_id=6162335,2019-08-16T09:45:17+00:00,yes,2019-08-16T09:46:46+00:00,yes,Other
6162334,http://paypal-issues.cf/auth/1e6bebf6cb8d2a6d24da813cd7fc551fZTcyMTNkZWVjMjdkNWIyYzdiNDU3MDMzZTBiOWU5OGM=,http://www.phishtank.com/phish_detail.php?phish_id=6162334,2019-08-16T09:45:14+00:00,yes,2019-08-16T09:46:02+00:00,yes,Other
6162329,http://proxg.ro/scib/Absa%20Online%20-%20PROFILE.htm,http://www.phishtank.com/phish_detail.php?phish_id=6162329,2019-08-16T09:17:27+00:00,yes,2019-08-16T09:18:26+00:00,yes,"ABSA Bank"
6162328,http://reversemortgageoffers.com/backup/umde/Absa%20Online%20-%20PROFILE.htm,http://www.phishtank.com/phish_detail.php?phish_id=6162328,2019-08-16T09:17:20+00:00,yes,2019-08-16T09:18:26+00:00,yes,"ABSA Bank"
6162327,http://havefuncompany.cz/wp-content/themes/scib/Absa%20Online%20-%20PROFILE.htm,http://www.phishtank.com/phish_detail.php?phish_id=6162327,2019-08-16T09:17:14+00:00,yes,2019-08-16T09:18:26+00:00,yes,"ABSA Bank"
6162326,http://beglobiai.lt/wp-includes/js/tinymce/plugins/scib/Absa%20Online%20-%20PROFILE.htm,http://www.phishtank.com/phish_detail.php?phish_id=6162326,2019-08-16T09:17:07+00:00,yes,2019-08-16T09:18:26+00:00,yes,"ABSA Bank"
6162325,http://ibsagroup.tech/fdp/ibkza/AbsaOnline.htm,http://www.phishtank.com/phish_detail.php?phish_id=6162325,2019-08-16T09:17:01+00:00,yes,2019-08-16T09:18:26+00:00,yes,"ABSA Bank"
6162324,http://mcgrathspub.net/scib/Absa%20Online%20-%20PROFILE.htm,http://www.phishtank.com/phish_detail.php?phish_id=6162324,2019-08-16T09:16:54+00:00,yes,2019-08-16T09:17:42+00:00,yes,"ABSA Bank"
6162323,http://vision-net.nl/Video/scib/Absa%20Online%20-%20PROFILE.htm,http://www.phishtank.com/phish_detail.php?phish_id=6162323,2019-08-16T09:16:47+00:00,yes,2019-08-16T09:17:42+00:00,yes,"ABSA Bank"
6162322,http://www.hifi-meubles.com/umde/Absa%20Online%20-%20PROFILE.htm,http://www.phishtank.com/phish_detail.php?phish_id=6162322,2019-08-16T09:16:41+00:00,yes,2019-08-16T09:17:42+00:00,yes,"ABSA Bank"
6162321,http://ibsamail.cf/AbsaOnline.htm,http://www.phishtank.com/phish_detail.php?phish_id=6162321,2019-08-16T09:16:34+00:00,yes,2019-08-16T09:17:42+00:00,yes,"ABSA Bank"
6162317,https://ingdirect-es-enligne.eu/B2a4fa5s1cz23a5sd4f2z1s/O2sa1z5v31a4sd54fa3x21a5/logtruev2/05a097e38e3b878bd651adfe4b362718/,http://www.phishtank.com/phish_detail.php?phish_id=6162317,2019-08-16T09:11:55+00:00,yes,2019-08-16T09:13:18+00:00,yes,"ING Direct"
6162310,https://patpal-agostocupom-com.umbler.net/index2.html?token=-ygxczf9mq4f70dgofv5ha63hpu78nxu,http://www.phishtank.com/phish_detail.php?phish_id=6162310,2019-08-16T09:08:34+00:00,yes,2019-08-16T09:11:50+00:00,yes,PayPal
6162308,https://souqtnine.com/wp-includes/home.html,http://www.phishtank.com/phish_detail.php?phish_id=6162308,2019-08-16T09:08:33+00:00,yes,2019-08-16T09:11:50+00:00,yes,Other
6162307,https://www.autobutiquegnzwhells.com/wp-content/uploads/2019/01/Active/REST/46f86d7291d875c36cc66ebe5087b10ca9f2a671639a293f0eda4271075476c8f3090fd627de9834b021bbe8660089f947778762baba289749f4c71716aab9f9d78ff66c5a4fab1f5fee5d02d6fe3a68b6780cb711/Login.php/css/festivo1.ttf,http://www.phishtank.com/phish_detail.php?phish_id=6162307,2019-08-16T09:08:32+00:00,yes,2019-08-16T09:11:06+00:00,yes,PayPal
6162306,https://2dehands-iban-veiligheidscontrole.online/kbc/,http://www.phishtank.com/phish_detail.php?phish_id=6162306,2019-08-16T09:08:31+00:00,yes,2019-08-16T09:11:06+00:00,yes,Other
6162305,http://www.dynamotours.co.za/app/cellphone.html,http://www.phishtank.com/phish_detail.php?phish_id=6162305,2019-08-16T09:08:29+00:00,yes,2019-08-16T09:11:06+00:00,yes,Other
6162304,https://godthoughts.co.za/signin/customer_center/customer-IDPP00C987/myaccount/bank//css/festivo1.ttf,http://www.phishtank.com/phish_detail.php?phish_id=6162304,2019-08-16T09:08:28+00:00,yes,2019-08-16T09:11:50+00:00,yes,PayPal
6162299,https://www.autobutiquegnzwhells.com/wp-content/uploads/2019/01/Active/REST/bbaccb8e75745766eecc2776af20310cb262b9a7c76a28fcf2dd7a94184b34f042ed95ccf6b471d717ddd785c309110a4a1a11be91fff6853c1129671bb5cf959fe3fda2c61850831820140534ddda1b10a8bbe3a6/Login.php/css/PayPalSansBig-Light.svg,http://www.phishtank.com/phish_detail.php?phish_id=6162299,2019-08-16T09:08:24+00:00,yes,2019-08-16T09:10:22+00:00,yes,PayPal
6162295,http://patpal-agostocupom-com.umbler.net/index2.html?token=r7n9umwlzcgbxb8zi2-99fhyxlkys-np/css/festivo1.ttf/css/festivo1.ttf,http://www.phishtank.com/phish_detail.php?phish_id=6162295,2019-08-16T09:08:20+00:00,yes,2019-08-16T09:09:38+00:00,yes,PayPal
6162289,http://vedsir.com/css/resolve-customer-issue/bill/Update/myaccount/identity/,http://www.phishtank.com/phish_detail.php?phish_id=6162289,2019-08-16T09:08:15+00:00,yes,2019-08-16T09:08:54+00:00,yes,PayPal
