phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6058059,http://fb-marketplace-new.tk/verify.html,http://www.phishtank.com/phish_detail.php?phish_id=6058059,2019-05-28T06:21:42+00:00,yes,2019-05-28T06:22:59+00:00,yes,Other
6058056,https://blueredu.org/mailww/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6058056,2019-05-28T06:10:36+00:00,yes,2019-05-28T06:11:45+00:00,yes,Other
6058055,http://www.instagramsecuritysupport.site/accounts/help/security.php,http://www.phishtank.com/phish_detail.php?phish_id=6058055,2019-05-28T06:09:07+00:00,yes,2019-05-28T06:10:03+00:00,yes,Other
6058054,https://postfinance-onlinebanking-e-finance.boostvibes.ch/login.html,http://www.phishtank.com/phish_detail.php?phish_id=6058054,2019-05-28T06:00:26+00:00,yes,2019-05-28T06:02:13+00:00,yes,Other
6058053,http://www.mydocomo-spa.com/,http://www.phishtank.com/phish_detail.php?phish_id=6058053,2019-05-28T05:41:36+00:00,yes,2019-05-28T05:43:50+00:00,yes,Other
6058052,http://mydocomo-spa.com/,http://www.phishtank.com/phish_detail.php?phish_id=6058052,2019-05-28T05:39:58+00:00,yes,2019-05-28T05:42:09+00:00,yes,Other
6058050,http://www.myau-prd.com/,http://www.phishtank.com/phish_detail.php?phish_id=6058050,2019-05-28T05:38:01+00:00,yes,2019-05-28T05:40:28+00:00,yes,Other
6058046,https://mehditravelservices.com/wp-includes/js/us/delta.com/,http://www.phishtank.com/phish_detail.php?phish_id=6058046,2019-05-28T05:20:57+00:00,yes,2019-05-28T05:27:37+00:00,yes,"Delta Air Lines"
6058045,http://mehditravelservices.com/wp-includes/js/us/delta.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6058045,2019-05-28T05:20:55+00:00,yes,2019-05-28T05:26:29+00:00,yes,"Delta Air Lines"
6058044,http://autoconfirmedfinity.tk/xfinity/,http://www.phishtank.com/phish_detail.php?phish_id=6058044,2019-05-28T05:16:18+00:00,yes,2019-05-28T05:25:21+00:00,yes,Other
6058043,http://connectingemailboxaccount.tk/xfinity/,http://www.phishtank.com/phish_detail.php?phish_id=6058043,2019-05-28T05:16:15+00:00,yes,2019-05-28T05:24:47+00:00,yes,Other
6058042,http://connectinboxaccount.ga/xfinity/,http://www.phishtank.com/phish_detail.php?phish_id=6058042,2019-05-28T05:16:11+00:00,yes,2019-05-28T05:24:13+00:00,yes,Other
6058041,http://emailmigration.ga/xfinity/,http://www.phishtank.com/phish_detail.php?phish_id=6058041,2019-05-28T05:16:07+00:00,yes,2019-05-28T05:23:39+00:00,yes,Other
6058040,http://ghdamsj43433.cf/Freshlax/usr.php,http://www.phishtank.com/phish_detail.php?phish_id=6058040,2019-05-28T05:16:03+00:00,yes,2019-05-28T05:23:05+00:00,yes,Other
6058039,http://ghdamsj43433.cf/Freshlax/,http://www.phishtank.com/phish_detail.php?phish_id=6058039,2019-05-28T05:15:58+00:00,yes,2019-05-28T05:22:31+00:00,yes,Other
6058038,http://rapidtur.cl/ok/sign/ok/,http://www.phishtank.com/phish_detail.php?phish_id=6058038,2019-05-28T05:15:52+00:00,yes,2019-05-28T05:21:57+00:00,yes,Other
6058036,http://nfcuu.com.haysess.com/navyfederal.org-Online-Security-Center/fulls.php,http://www.phishtank.com/phish_detail.php?phish_id=6058036,2019-05-28T05:15:44+00:00,yes,2019-05-28T05:21:23+00:00,yes,Other
6058035,http://nfcuu.com.haysess.com/navyfederal.org-Online-Security-Center/full.php,http://www.phishtank.com/phish_detail.php?phish_id=6058035,2019-05-28T05:15:39+00:00,yes,2019-05-28T05:20:49+00:00,yes,Other
6058034,http://nfcuu.com.haysess.com/navyfederal.org-Online-Security-Center/que.php,http://www.phishtank.com/phish_detail.php?phish_id=6058034,2019-05-28T05:15:36+00:00,yes,2019-05-28T05:20:15+00:00,yes,Other
6058033,http://nfcuu.com.haysess.com/navyfederal.org-Online-Security-Center/,http://www.phishtank.com/phish_detail.php?phish_id=6058033,2019-05-28T05:15:31+00:00,yes,2019-05-28T05:19:07+00:00,yes,Other
6058032,http://grasmerecourtrestaurant.co.uk/logs/my/net/service/9a734df81a547cf397e229794/,http://www.phishtank.com/phish_detail.php?phish_id=6058032,2019-05-28T05:15:26+00:00,yes,2019-05-28T05:18:33+00:00,yes,Other
6058031,http://ptdip.com/app/login.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&amp;fid.13InboxLight.aspxn.1774256418&amp;fid.125289964252813InboxLight99642_Product-userid&amp;userid=,http://www.phishtank.com/phish_detail.php?phish_id=6058031,2019-05-28T05:15:21+00:00,yes,2019-05-28T05:17:59+00:00,yes,Other
6058030,http://news-ghana-afrika.de/anmelden.php?assoc_handle=5FjoweS9indzcusXThtHkWxvMQDCIA&amp;openid_claim=bFwHe4Q83iEG2P6z7WfA&amp;identifier_select=wO6mQNkaeYc57PqUuDVd&amp;pape_max=13pa6lfudcXmq2FCibW8STNPKkGtr9,http://www.phishtank.com/phish_detail.php?phish_id=6058030,2019-05-28T05:15:17+00:00,yes,2019-05-28T05:17:24+00:00,yes,Other
6058029,http://wells-fargobankonline.com/WF%202018/wuynzq=/jc5ywq=/jy2ody=/,http://www.phishtank.com/phish_detail.php?phish_id=6058029,2019-05-28T05:15:13+00:00,yes,2019-05-28T05:16:16+00:00,yes,Other
6058028,http://segurossll.com.uy/js/us/delta.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6058028,2019-05-28T05:14:22+00:00,yes,2019-05-28T05:15:42+00:00,yes,"Delta Air Lines"
6058027,https://frugallyfunfamily.com/sfftl/login.php?email=USER@DOMAIN.ch,http://www.phishtank.com/phish_detail.php?phish_id=6058027,2019-05-28T05:12:10+00:00,yes,2019-05-28T05:13:27+00:00,yes,Other
6058025,http://feriadominios.com/assets/js/us/delta.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6058025,2019-05-28T05:07:14+00:00,yes,2019-05-28T05:08:59+00:00,yes,"Delta Air Lines"
6058024,http://sarasola.net/jorge/us/delta.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6058024,2019-05-28T05:01:39+00:00,yes,2019-05-28T05:03:22+00:00,yes,"Delta Air Lines"
6058022,http://thewisdomcentre.com/wp-includes/js/us/delta.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6058022,2019-05-28T04:58:05+00:00,yes,2019-05-28T05:00:00+00:00,yes,"Delta Air Lines"
6058021,http://automatizacioncontrolada.com/wp-includes/js/us/delta.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6058021,2019-05-28T04:54:55+00:00,yes,2019-05-28T04:56:38+00:00,yes,"Delta Air Lines"
6058020,http://protery.com/js/libs/us/delta.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6058020,2019-05-28T04:52:08+00:00,yes,2019-05-28T04:53:15+00:00,yes,"Delta Air Lines"
6058019,http://pradiprubber.in/wp-admin/js/excel/excel/excel/login.php?cmd=login_submit&id=9b8fb4225a79e8f3621006d0214f6ae79b8fb4225a79e8f3621006d0214f6ae7&session=9b8fb4225a79e8f3621006d0214f6ae79b8fb4225a79e8f3621006d0214f6ae7,http://www.phishtank.com/phish_detail.php?phish_id=6058019,2019-05-28T04:40:19+00:00,yes,2019-05-28T04:42:04+00:00,yes,Other
6058018,http://pradiprubber.in/wp-admin/js/excel/excel/excel/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6058018,2019-05-28T04:40:18+00:00,yes,2019-05-28T04:41:30+00:00,yes,Other
6058012,http://countypestcontrolonline.co.uk/my/net/service397897/561500e64a36378b6139a64ac/,http://www.phishtank.com/phish_detail.php?phish_id=6058012,2019-05-28T04:20:27+00:00,yes,2019-05-28T04:22:53+00:00,yes,Other
6058011,http://k-12.cl/dr/Sm/,http://www.phishtank.com/phish_detail.php?phish_id=6058011,2019-05-28T04:20:22+00:00,yes,2019-05-28T04:22:19+00:00,yes,Other
6058010,http://pradiprubber.in/wp-admin/js/excel/excel/excel/login.php?cmd=login_submit&amp;id=3b0fda386063a14003fd37bc9406784a3b0fda386063a14003fd37bc9406784a&amp;session=3b0fda386063a14003fd37bc9406784a3b0fda386063a14003fd37bc9406784a,http://www.phishtank.com/phish_detail.php?phish_id=6058010,2019-05-28T04:20:17+00:00,yes,2019-05-28T04:21:45+00:00,yes,Other
6058008,https://www8.levemaispaguemenospedidosonline.com/,http://www.phishtank.com/phish_detail.php?phish_id=6058008,2019-05-28T04:18:13+00:00,yes,2019-05-28T04:19:28+00:00,yes,Other
6058007,https://xn--polonex-cza.com/login/en/index.php?r=confirm_account,http://www.phishtank.com/phish_detail.php?phish_id=6058007,2019-05-28T04:10:54+00:00,yes,2019-05-28T04:12:41+00:00,yes,Other
6058005,http://washauthority.com/wp-content/themes/genesis/lib/views/pages/Wits/Pirates/Mamelodi/Bloemfontein/AbsaOnline.htm,http://www.phishtank.com/phish_detail.php?phish_id=6058005,2019-05-28T04:06:45+00:00,yes,2019-05-28T04:07:36+00:00,yes,"ABSA Bank"
6058004,http://mtncontract.co.za/ned3dvalidation/login.html,http://www.phishtank.com/phish_detail.php?phish_id=6058004,2019-05-28T04:06:38+00:00,yes,2019-05-28T04:07:36+00:00,yes,"ABSA Bank"
6058001,https://www42.descontonocupom2019.com/,http://www.phishtank.com/phish_detail.php?phish_id=6058001,2019-05-28T03:59:53+00:00,yes,2019-05-28T04:01:24+00:00,yes,Other
6057999,https://atualizacao-cadastral-urgente.ml/atualize-dados/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6057999,2019-05-28T03:54:02+00:00,yes,2019-05-28T03:55:47+00:00,yes,Other
6057998,https://atualizacao-cadastral-urgente.ml/atualize-dados/,http://www.phishtank.com/phish_detail.php?phish_id=6057998,2019-05-28T03:53:46+00:00,yes,2019-05-28T06:16:48+00:00,yes,Other
6057996,https://atualizacao-cadastral-urgente.cf/atualize-dados/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6057996,2019-05-28T03:52:52+00:00,yes,2019-05-28T06:17:56+00:00,yes,Other
6057995,https://atualizacao-cadastral-urgente.cf/atualize-dados/,http://www.phishtank.com/phish_detail.php?phish_id=6057995,2019-05-28T03:52:35+00:00,yes,2019-05-28T06:20:10+00:00,yes,Other
6057993,https://atualizacao-cadastral-urgente.tk/atualize-dados/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6057993,2019-05-28T03:51:39+00:00,yes,2019-05-28T06:22:25+00:00,yes,Other
6057992,https://atualizacao-cadastral-urgente.tk/atualize-dados/,http://www.phishtank.com/phish_detail.php?phish_id=6057992,2019-05-28T03:51:21+00:00,yes,2019-05-28T06:22:59+00:00,yes,Other
6057990,https://atualizacao-cadastral-urgente.gq/atualize-dados/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6057990,2019-05-28T03:50:04+00:00,yes,2019-05-28T03:51:16+00:00,yes,Other
6057989,https://atualizacao-cadastral-urgente.gq/atualize-dados/,http://www.phishtank.com/phish_detail.php?phish_id=6057989,2019-05-28T03:49:43+00:00,yes,2019-05-28T06:25:14+00:00,yes,Other
6057988,https://www85.americaneletros.com/tkn7539849/smart-tv-led-43-samsung-un43ru7100gxzd-ultra-hd-4k-com-conversor-digital-3-hdmi-2-usb-wi-fi-hdr-premium-controle-remoto-unico-e-bluetooth/134240667/pr,http://www.phishtank.com/phish_detail.php?phish_id=6057988,2019-05-28T03:39:40+00:00,yes,2019-05-28T03:40:36+00:00,yes,Other
6057986,http://jppost-mi.com:81/dao.html,http://www.phishtank.com/phish_detail.php?phish_id=6057986,2019-05-28T03:35:43+00:00,yes,2019-05-28T03:36:38+00:00,yes,Other
6057984,https://www.thewebideas.com/Clients/FbS/verification/payment-update-0.html?tab=payments&amp;ref=settings_nav,http://www.phishtank.com/phish_detail.php?phish_id=6057984,2019-05-28T03:26:10+00:00,yes,2019-05-28T03:33:15+00:00,yes,Other
6057983,https://www.thewebideas.com/Clients/FbS/verification/question.html?tab=accounts&amp;ref=settings_nav,http://www.phishtank.com/phish_detail.php?phish_id=6057983,2019-05-28T03:26:06+00:00,yes,2019-05-28T03:32:41+00:00,yes,Other
6057982,http://www-portal.serveirc.com/paypal_online/01/login_confirm.html,http://www.phishtank.com/phish_detail.php?phish_id=6057982,2019-05-28T03:26:03+00:00,yes,2019-05-28T03:31:33+00:00,yes,Other
6057981,https://thebradshawcrew.net/Godaddy/index.html,http://www.phishtank.com/phish_detail.php?phish_id=6057981,2019-05-28T03:25:57+00:00,yes,2019-05-28T03:30:58+00:00,yes,Other
6057980,http://hawsflowers.biz/cgi/QlusRetaiDaddy9Signoginsecurex.icrosoftonlinePlusRetail_02a3ca24_795a417_usRa23b.fc72345102bTindex.X86_enus_O365ProPlusRetail_02a3ca2dexjdhindex.X86_enus_O365ProPlu.php,http://www.phishtank.com/phish_detail.php?phish_id=6057980,2019-05-28T03:25:53+00:00,yes,2019-05-28T03:30:24+00:00,yes,Other
6057977,http://dienlanhtaiphat.com/admin/webroot/cache/micro/,http://www.phishtank.com/phish_detail.php?phish_id=6057977,2019-05-28T03:25:44+00:00,yes,2019-05-28T03:29:50+00:00,yes,Other
6057976,http://sumimarlik.net/chevron/projects/,http://www.phishtank.com/phish_detail.php?phish_id=6057976,2019-05-28T03:25:39+00:00,yes,2019-05-28T03:29:16+00:00,yes,Other
6057975,http://tapchinhathuoc.com/ae/validate.php?cmd=login_submit&amp;id=28b3e6bc9950b37e57a79ac1a4b9731828b3e6bc9950b37e57a79ac1a4b97318&amp;session=28b3e6bc9950b37e57a79ac1a4b9731828b3e6bc9950b37e57a79ac1a4b97318,http://www.phishtank.com/phish_detail.php?phish_id=6057975,2019-05-28T03:25:34+00:00,yes,2019-05-28T03:28:41+00:00,yes,Other
6057974,http://tapchinhathuoc.com/ae/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6057974,2019-05-28T03:25:29+00:00,yes,2019-05-28T03:27:33+00:00,yes,Other
6057973,https://websemo100.com/ServiceVideotron/bnc/National%20Bank%20Online.html,http://www.phishtank.com/phish_detail.php?phish_id=6057973,2019-05-28T03:25:25+00:00,yes,2019-05-28T06:20:44+00:00,yes,Other
6057972,https://eliteintlpk.com/wp-content/wp-sample/Foundation/Exception/?cmd=login_submit&amp;id=413156cec971b4e1563f95cfa52aafb4413156cec971b4e1563f95cfa52aafb4&amp;session=413156cec971b4e1563f95cfa52aafb4413156cec971b4e1563f95cfa52aafb4,http://www.phishtank.com/phish_detail.php?phish_id=6057972,2019-05-28T03:25:22+00:00,yes,2019-05-28T03:26:59+00:00,yes,Other
6057969,http://www.titanmachine.com/sites/default/files/webform/avanceEfectivoInvocaBpo.html,http://www.phishtank.com/phish_detail.php?phish_id=6057969,2019-05-28T03:14:44+00:00,yes,2019-05-28T03:16:16+00:00,yes,Other
6057968,https://unitedcityb.com/page/IbkWeb/loginAction.php,http://www.phishtank.com/phish_detail.php?phish_id=6057968,2019-05-28T03:14:32+00:00,yes,2019-05-28T06:18:30+00:00,yes,Other
6057966,http://www.wgcarpentry.com/wgcarpentry/webform/BancoPichincha.html,http://www.phishtank.com/phish_detail.php?phish_id=6057966,2019-05-28T03:09:14+00:00,yes,2019-05-28T03:11:12+00:00,yes,Other
6057965,https://prosms0.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=6057965,2019-05-28T02:37:02+00:00,yes,2019-05-28T02:50:59+00:00,yes,Other
6057964,https://bit.ly/2VWEUsp,http://www.phishtank.com/phish_detail.php?phish_id=6057964,2019-05-28T02:37:01+00:00,yes,2019-05-28T04:28:34+00:00,yes,Other
